Medicine ID,Medical Condition,Specialty,Generic Name,Brand Name,Strength,Dosage Form,Route,Adult Dose,Pediatric Dose,Pregnancy Warning,Contraindications,Drug Interactions,Schedule,ICD10 Category
RX20001,Angina,Psychiatry,Sildenafil,SILDE-RX20001,100 mg,Capsule,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20002,Diabetes,ENT,Linagliptin,LINAG-RX20002,250 mg,Capsule,Inhalation,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20003,Allergy,Pulmonology,Escitalopram,ESCIT-RX20003,2.5 mg,Cream,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,N39
RX20004,Fungal Infection,Urology,Ketoconazole,KETOC-RX20004,20 mg,Inhaler,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20005,Infertility,Gastroenterology,Amoxicillin,AMOXI-RX20005,50 mg,Gel,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20006,Depression,Dermatology,Methotrexate,METHO-RX20006,10 mg,Tablet,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,F32
RX20007,IBS,Gastroenterology,Linagliptin,LINAG-RX20007,40 mg,Capsule,Nasal,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20008,Anxiety,Oncology,Fexofenadine,FEXOF-RX20008,2.5 mg,Syrup,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,K21
RX20009,Allergy,Psychiatry,Pregabalin,PREGA-RX20009,250 mg,Cream,Oral,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20010,Depression,Dermatology,Losartan,LOSAR-RX20010,10 mg,Drops,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20011,Diabetes,Ophthalmology,Vildagliptin,VILDA-RX20011,100 mg,Inhaler,IV,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,E11
RX20012,Stroke,Cardiology,Olmesartan,OLMES-RX20012,25 mg,Capsule,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
RX20013,Heart Failure,Pulmonology,Isotretinoin,ISOTR-RX20013,500 mg,Tablet,Topical,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,G40
RX20014,Heart Failure,Dermatology,Methotrexate,METHO-RX20014,25 mg,Gel,IM,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,I10
RX20015,Fever,Psychiatry,Metformin,METFO-RX20015,25 mg,Drops,Ophthalmic,As directed by physician,Consult pediatrician,Use with caution,Hypersensitivity,Check interaction profile,Rx,J45
